iter	Passed	Remaining
0	161	161072
1	210	105051
2	293	97452
3	334	83341
4	382	76037
5	451	74799
6	533	75725
7	587	72835
8	648	71353
9	747	73970
10	807	72572
11	870	71655
12	938	71290
13	1008	71054
14	1121	73633
15	1233	75880
16	1304	75434
17	1367	74621
18	1431	73888
19	1539	75428
20	1641	76514
21	1749	77755
22	1829	77712
23	1944	79062
24	2016	78662
25	2100	78684
26	2193	79051
27	2293	79604
28	2391	80063
29	2468	79808
30	2570	80351
31	2698	81638
32	2852	83587
33	2946	83714
34	3070	84649
35	3145	84240
36	3235	84210
37	3337	84492
38	3445	84907
39	3556	85361
40	3635	85025
41	3720	84856
42	3809	84783
43	3936	85531
44	4048	85913
45	4152	86128
46	4249	86174
47	4324	85763
48	4397	85348
49	4515	85795
50	4604	85673
51	4679	85319
52	4738	84673
53	4796	84022
54	4905	84287
55	4996	84222
56	5089	84192
57	5147	83604
58	5225	83346
59	5298	83012
60	5405	83210
61	5497	83173
62	5596	83241
63	5680	83075
64	5783	83199
65	5850	82798
66	5923	82492
67	6000	82240
68	6081	82062
69	6164	81901
70	6232	81553
71	6304	81263
72	6395	81213
73	6466	80922
74	6571	81045
75	6655	80921
76	6722	80580
77	6784	80197
78	6859	79967
79	6961	80056
80	7143	81050
81	7315	81902
82	7427	82055
83	7503	81824
84	7606	81884
85	7660	81411
86	7720	81026
87	7787	80709
88	7854	80399
89	7905	79934
90	7977	79689
91	8033	79285
92	8133	79326
93	8178	78827
94	8252	78617
95	8328	78424
96	8384	78057
97	8451	77792
98	8517	77521
99	8576	77190
100	8685	77306
101	8808	77553
102	8902	77529
103	8973	77313
104	9064	77259
105	9147	77148
106	9251	77207
107	9418	77788
108	9503	77681
109	9602	77696
110	9696	77661
111	9774	77501
112	9848	77308
113	9919	77091
114	9998	76943
115	10042	76534
116	10151	76611
117	10228	76454
118	10275	76076
119	10338	75817
120	10418	75683
121	10545	75896
122	10714	76393
123	10848	76642
124	10955	76685
125	11138	77265
126	11273	77496
127	11442	77954
128	11598	78314
129	11749	78632
130	11863	78699
131	12002	78923
132	12230	79731
133	12502	80801
134	12773	81841
135	12958	82325
136	13120	82652
137	13237	82684
138	13325	82539
139	13414	82404
140	13498	82234
141	13558	81924
142	13635	81719
143	13695	81413
144	13797	81359
