Unnamed: 0_wildfire,id,fire_number,year,discovered_date,date_wildfire,detection_agent_type,smoke_type,smoke_color,smoke_base_size,condition_of_smoke,latitude_wildfire,longitude_wildfire,dispatch_date,dispatched_resource,ia_getaway_time,assessment_datetime,assessment_size,assessment_result,assessment_resource,fire_spread_rate,fire_type,fuel_type,fire_position_on_slope,comments,general_cause,eco_zone_flag,wui_indicator,temperature,relative_humidity_wildfire,wind_direction,wind_speed,weather_conditions_over_fire,initial_action_by,ia_arrival_at_fire_date,ia_access,air_ff_start_date,air_ff_start_size,ground_ff_start_date,ground_ff_start_size,bucketing_on_fire,distance_from_water_source,first_bucket_drop_date,first_bh_date,first_bh_size,first_uc_date,first_uc_size,first_to_date,first_to_size,first_ex_date,first_ex_size_perimeter,current_size,size_class,ia_getaway_obj,ia_start_size_obj,first_burn_period_obj,contained_size_obj,geometry,FA_NAME,forest_area,hour_of_day,date_day,Unnamed: 0_weather,station_id,date_weather,update_timestamp,dry_bulb_temperature,dew_point,relative_humidity_weather,rain_mm,snow_cm,hail_mm,precipitation_mm,wind_speed_kmh,wind_gust_kmh,wind_azimuth,ffmc,dmc,dc,isi,bui,fwi,dsr,latitude_weather,longitude_weather
9,239,W07008,1996,5/23/1996 13:55,1996-05-23 14:00:00,LKT,LC,LG,S,,55.2957,-115.4659,5/23/1996 14:00,FPD Staff,Project Status,5/23/1996 14:37,0.05,,,1.0,Surface,,Bottom,,Miscellaneous Known,,N,,,E,6.0,Clear,FPD Staff,,,,,,,,,,5/23/1996 14:45,0.07,5/23/1996 14:45,0.07,5/23/1996 16:50,0.07,5/23/1996 17:00,0.07,0.07,A,,Y,Y,Y,POINT (470428.5930909992 6125344.207411197),Slave Lake Forest Area,Slave Lake,14.0,1996-05-23,797121,KO,1996-05-23,,15.0,-3.0,28.74,0.0,0.0,0.0,0.0,10.0,,225,88.6,12.9,119.0,5.8,20.3,9.2,1.37,55.32,-115.44
16,465,S04003,1996,6/14/1996 19:25,1996-06-14 19:40:00,AIR,,,,,53.0794,-115.494,6/14/1996 19:40,HAC,3 minutes,6/14/1996 19:40,0.01,,,0.1,Ground,C2,Bottom,,Lightning,,N,,,CLM,0.0,CB Wet,HAC1H,,,,,,,,,,6/14/1996 19:40,0.01,6/14/1996 19:40,0.01,,,6/14/1996 20:20,0.01,0.01,A,Y,?,Y,Y,POINT (466921.6834950702 5878863.804577753),Rocky Mountain House Forest Area,Rocky Mountain House,19.66666667,1996-06-14,225867,BZ,1996-06-14,,17.0,5.9,47.93,0.0,0.0,0.0,0.0,10.0,,270,88.9,29.6,86.4,6.1,31.9,12.0,2.22,53.04,-115.44
17,466,S04004,1996,6/14/1996 19:07,1996-06-14 19:07:00,AIR,,,,,53.0884,-115.491,6/14/1996 19:07,HAC,3 minutes,6/14/1996 21:00,0.01,,,0.1,Ground,C2,Flat,,Lightning,,N,,,CLM,0.0,Clear,HAC1H,,,,,,,,,,6/14/1996 21:00,0.01,6/14/1996 21:00,0.01,,,6/14/1996 21:10,0.01,0.01,A,Y,?,Y,Y,POINT (467129.4196028029 5879863.203262138),Rocky Mountain House Forest Area,Rocky Mountain House,19.11666667,1996-06-14,225867,BZ,1996-06-14,,17.0,5.9,47.93,0.0,0.0,0.0,0.0,10.0,,270,88.9,29.6,86.4,6.1,31.9,12.0,2.22,53.04,-115.44
35,114,W05002,1996,5/7/1996 20:05,1996-05-07 20:05:00,UNP,,,,,55.423,-114.7799,,,,5/7/1996 20:48,0.01,,,0.0,Surface,O1a,Lower 1/3,,Incendiary,,N,,,N,8.0,Clear,Public,,,,,,,,,,5/7/1996 20:52,0.01,5/7/1996 20:52,0.01,,,5/7/1996 21:00,0.01,0.01,A,,,Y,Y,POINT (513925.379722335 6139428.376057547),Slave Lake Forest Area,Slave Lake,20.08333333,1996-05-07,936646,MR,1996-05-07,,-4.0,,,0.0,0.0,0.0,0.0,11.0,,180,,,,,,,,55.47,-114.79
49,167,E02003,1996,5/12/1996 13:35,1996-05-12 13:38:00,LKT,LC,LG,N,,54.6749,-111.9201,5/12/1996 13:38,RAP,Project Status,5/12/1996 14:30,1.0,,,2.0,Surface,M1,Bottom,SB/SQUAD,Resident,,N,,,N,10.0,Clear,HAC1R,,,,,,,,,,5/12/1996 15:50,1.0,5/12/1996 19:40,1.5,,,5/14/1996 11:00,1.5,1.5,B,,?,Y,Y,POINT (698495.3162673722 6060545.672320396),Lac La Biche Forest Area,Lac La Biche,13.63333333,1996-05-12,857582,LH,1996-05-12,,13.0,-9.0,20.0,0.0,0.0,0.0,0.0,13.0,,45,89.1,11.5,220.3,7.2,20.3,11.0,1.88,54.76,-112.02
51,216,S04001,1996,5/18/1996 15:04,1996-05-18 15:08:00,LKT,LC,LG,S,,52.9779,-115.373,5/18/1996 15:08,Forest Officer,Project Status,5/18/1996 20:11,1.0,,,0.1,Surface,C2,Flat,,Lightning,,N,,,NW,7.0,CB Wet,Forest Officer,,,,,,,,,,5/18/1996 20:11,1.0,5/18/1996 20:11,1.0,,,5/18/1996 21:00,0.1,0.1,A,,Y,Y,Y,POINT (474965.1218145295 5867528.28685506),Rocky Mountain House Forest Area,Rocky Mountain House,15.13333333,1996-05-18,225840,BZ,1996-05-18,,16.0,0.0,33.61,0.0,0.0,0.0,0.0,7.0,,135,87.1,9.8,79.0,4.1,14.9,5.5,0.56,53.04,-115.44
67,349,W05008,1996,6/2/1996 15:20,1996-06-02 15:30:00,LKT,LC,DG,S,,55.5428,-114.1595,6/2/1996 15:30,RAP,10  minutes,6/2/1996 15:44,0.01,,,0.0,Surface,C2,Bottom,,Lightning,,N,,,SE,14.0,CB Wet,HAC1R,,,,,,,,,,6/2/1996 16:15,0.01,6/2/1996 16:16,0.01,,,6/2/1996 16:40,0.01,0.01,A,Y,?,Y,Y,POINT (553015.3892145966 6153053.943504292),Slave Lake Forest Area,Slave Lake,15.5,1996-06-02,917330,MN,1996-06-02,,19.5,7.0,44.25,3.0,0.0,0.0,3.0,14.0,,315,68.9,5.1,60.5,1.2,8.5,0.7,0.01,55.55,-114.18
78,189,N03004,1996,5/7/1996 14:30,1996-05-07 14:31:00,UNP,,,,,54.2939,-114.7508,5/7/1996 14:31,HAC,Project Status,5/7/1996 14:39,0.01,,,0.1,Surface,O1a,Flat,Nil,Undetermined,,N,,,N,4.0,Cloudy,HAC1H,,,,,,,,,,5/7/1996 14:40,0.01,5/7/1996 14:40,0.01,,,5/7/1996 14:51,0.01,0.01,A,,?,Y,Y,POINT (516213.1629874667 6013843.099751446),,,14.51666667,1996-05-07,537842,FA,1996-05-07,,2.0,-3.0,69.43,0.0,0.01,0.0,0.01,12.0,,225,65.2,9.2,79.9,1.0,14.3,0.7,0.02,54.34,-114.81
89,169,W07005,1996,5/12/1996 17:10,1996-05-12 17:30:00,LKT,HC,MG,S,,55.8991,-115.6682,,,,5/12/1996 19:12,1.5,,,2.0,Ground,O1a,Lower 1/3,,Incendiary,,N,,,W,15.0,Clear,Indian Reservation,,,,,,,,,,5/12/1996 19:15,2.0,5/12/1996 19:15,2.0,5/13/1996 8:15,2.0,5/13/1996 17:00,2.0,2.0,B,,,Y,Y,POINT (458234.3865865479 6192572.519957167),Slave Lake Forest Area,Slave Lake,17.5,1996-05-12,648273,GT,1996-05-12,,13.5,-8.0,21.65,0.0,0.0,0.0,0.0,15.0,32.0,45,91.5,14.4,166.2,11.3,23.7,16.7,3.97,55.9,-115.76
90,184,W07006,1996,5/13/1996 9:35,1996-05-13 09:35:00,UNP,,,,,55.4048,-115.3441,5/13/1996 9:35,HAC,Project Status,5/13/1996 16:15,1.5,,,1.0,Ground,O1a,Bottom,beam pump,Miscellaneous Known,,N,,,NW,15.0,Cloudy,HAC1H,,,,,,,,,,5/13/1996 12:05,1.9,5/13/1996 12:05,1.9,5/13/1996 14:20,1.9,5/13/1996 14:20,1.9,1.9,B,,?,Y,Y,POINT (478219.3530380138 6137435.587487859),Slave Lake Forest Area,Slave Lake,9.583333333,1996-05-13,797111,KO,1996-05-13,,8.0,2.0,65.8,0.0,0.0,0.0,0.0,0.0,,0,80.1,8.6,90.4,1.1,13.9,0.8,0.02,55.32,-115.44
